NO,date,hour,company,count
197,2025.01.01,18,samsung,"1,713"
198,2025.01.01,18,apple,0
199,2025.01.01,18,Microsoft,"15,625"
200,2025.01.01,18,Amazon,"10,414"
201,2025.01.01,18,TSMintel,"2,618"
202,2025.01.01,18,Google,"19,634"
203,2025.01.01,18,Broadcom,0
204,2025.01.01,18,Meta,"238,142"
205,2025.01.01,18,SaudiAramco,"51,392"
206,2025.01.01,19,intel,"16,827"
207,2025.01.01,19,tesla,348
208,2025.01.01,19,samsung,"2,028"
209,2025.01.01,19,apple,0
210,2025.01.01,19,Microsoft,"7,952"
211,2025.01.01,19,Amazon,"1,653"
212,2025.01.01,19,TSMintel,"17,205"
213,2025.01.01,19,Google,"12,091"
214,2025.01.01,19,Broadcom,85
215,2025.01.01,19,Meta,"324,184"
216,2025.01.01,19,SaudiAramco,"47,262"
217,2025.01.01,20,intel,"7,498"
218,2025.01.01,20,tesla,61
219,2025.01.01,20,samsung,"1,596"
220,2025.01.01,20,apple,0
221,2025.01.01,20,Microsoft,"6,372"
222,2025.01.01,20,Amazon,"1,903"
223,2025.01.01,20,TSMintel,"2,569"
224,2025.01.01,20,Google,"8,192"
225,2025.01.01,20,Broadcom,126
226,2025.01.01,20,Meta,"152,040"
227,2025.01.01,20,SaudiAramco,"30,462"
228,2025.01.01,21,intel,"3,286"
229,2025.01.01,21,tesla,3
230,2025.01.01,21,samsung,"1,058"
231,2025.01.01,21,apple,0
232,2025.01.01,21,Microsoft,"1,893"
233,2025.01.01,21,Amazon,7
234,2025.01.01,21,TSMintel,556
235,2025.01.01,21,Google,"6,936"
236,2025.01.01,21,Broadcom,0
237,2025.01.01,21,Meta,"73,599"
238,2025.01.01,21,SaudiAramco,"17,724"
239,2025.01.01,22,intel,"2,435"
240,2025.01.01,22,tesla,225
241,2025.01.01,22,samsung,795
242,2025.01.01,22,Microsoft,"1,373"
243,2025.01.01,22,Amazon,114
244,2025.01.01,22,TSMintel,543
245,2025.01.01,22,Google,"5,938"
246,2025.01.01,22,Broadcom,0
247,2025.01.01,22,Meta,"55,202"
248,2025.01.01,22,SaudiAramco,"12,605"
249,2025.01.01,23,intel,"1,796"
250,2025.01.01,23,tesla,28
251,2025.01.01,23,samsung,991
252,2025.01.01,23,apple,0
253,2025.01.01,23,Microsoft,"1,259"
254,2025.01.01,23,Amazon,20
255,2025.01.01,23,TSMintel,457
256,2025.01.01,23,Google,"4,235"
257,2025.01.01,23,Broadcom,0
258,2025.01.01,23,Meta,"45,350"
259,2025.01.01,23,SaudiAramco,"9,657"
260,2025.01.02,00,intel,"1,385"
261,2025.01.02,00,tesla,6
262,2025.01.02,00,samsung,640
263,2025.01.02,00,apple,0
264,2025.01.02,00,Microsoft,787
265,2025.01.02,00,Amazon,5
266,2025.01.02,00,TSMintel,309
267,2025.01.02,00,Google,"3,248"
268,2025.01.02,00,Broadcom,0
269,2025.01.02,00,Meta,"32,896"
270,2025.01.02,00,SaudiAramco,"8,657"
271,2025.01.02,01,intel,811
272,2025.01.02,01,tesla,16
273,2025.01.02,01,samsung,457
274,2025.01.02,01,Microsoft,499
275,2025.01.02,01,Amazon,0
276,2025.01.02,01,TSMintel,317
277,2025.01.02,01,Google,"2,202"
278,2025.01.02,01,Broadcom,0
279,2025.01.02,01,Meta,"18,340"
280,2025.01.02,01,SaudiAramco,"5,925"
281,2025.01.02,02,intel,415
282,2025.01.02,02,tesla,30
283,2025.01.02,02,samsung,373
284,2025.01.02,02,Microsoft,368
285,2025.01.02,02,Amazon,16
286,2025.01.02,02,TSMintel,240
287,2025.01.02,02,Google,"1,530"
288,2025.01.02,02,Broadcom,0
289,2025.01.02,02,Meta,"14,534"
290,2025.01.02,02,SaudiAramco,"4,302"
291,2025.01.02,03,intel,309
292,2025.01.02,03,tesla,2
293,2025.01.02,03,samsung,208
294,2025.01.02,03,Microsoft,299
295,2025.01.02,03,Amazon,0
296,2025.01.02,03,TSMintel,120
297,2025.01.02,03,Google,"1,010"
298,2025.01.02,03,Broadcom,0
299,2025.01.02,03,Meta,"12,271"
