NO,date,hour,company,input
324,2025.06.02,09,Broadcom,358
325,2025.06.02,09,Meta,"2,481,061"
326,2025.06.02,09,SaudiAramco,"884,079"
327,2025.06.02,10,tesla,439
328,2025.06.02,10,samsung,"61,214"
329,2025.06.02,10,apple,0
330,2025.06.02,10,Microsoft,"105,037"
331,2025.06.02,10,Amazon,"62,584"
332,2025.06.02,10,TSMC,"42,955"
333,2025.06.02,10,Google,"81,997"
334,2025.06.02,10,Broadcom,108
335,2025.06.02,10,Meta,"3,957,889"
336,2025.06.02,10,SaudiAramco,"1,129,232"
337,2025.06.02,11,tesla,319
338,2025.06.02,11,samsung,"56,919"
339,2025.06.02,11,apple,0
340,2025.06.02,11,Microsoft,"97,735"
341,2025.06.02,11,Amazon,"32,610"
342,2025.06.02,11,TSMC,"31,677"
343,2025.06.02,11,Google,"75,696"
344,2025.06.02,11,Broadcom,"17,267"
345,2025.06.02,11,Meta,"3,629,704"
346,2025.06.02,11,SaudiAramco,"1,037,427"
347,2025.06.02,12,tesla,225
348,2025.06.02,12,samsung,"24,874"
349,2025.06.02,12,apple,0
350,2025.06.02,12,Microsoft,"38,989"
351,2025.06.02,12,Amazon,"18,897"
352,2025.06.02,12,TSMC,"13,282"
353,2025.06.02,12,Google,"28,358"
354,2025.06.02,12,Broadcom,"12,368"
355,2025.06.02,12,Meta,"1,734,390"
356,2025.06.02,12,SaudiAramco,"543,751"
357,2025.06.02,13,tesla,54
358,2025.06.02,13,samsung,"36,598"
359,2025.06.02,13,apple,0
360,2025.06.02,13,Microsoft,"60,883"
361,2025.06.02,13,Amazon,"29,612"
362,2025.06.02,13,TSMC,"23,246"
363,2025.06.02,13,Google,"41,664"
364,2025.06.02,13,Broadcom,"40,944"
365,2025.06.02,13,Meta,"1,735,656"
366,2025.06.02,13,SaudiAramco,"582,835"
367,2025.06.02,14,tesla,291
368,2025.06.02,14,samsung,"35,673"
369,2025.06.02,14,apple,0
370,2025.06.02,14,Microsoft,"118,931"
371,2025.06.02,14,Amazon,"12,117"
372,2025.06.02,14,TSMC,"49,706"
373,2025.06.02,14,Google,"57,192"
374,2025.06.02,14,Broadcom,"4,217"
375,2025.06.02,14,Meta,"2,766,679"
376,2025.06.02,14,SaudiAramco,"672,575"
377,2025.06.02,15,tesla,438
378,2025.06.02,15,samsung,"16,555"
379,2025.06.02,15,apple,0
380,2025.06.02,15,Microsoft,"86,883"
381,2025.06.02,15,Amazon,"11,037"
382,2025.06.02,15,TSMC,"29,929"
383,2025.06.02,15,Google,"55,092"
384,2025.06.02,15,Broadcom,902
385,2025.06.02,15,Meta,"2,210,143"
386,2025.06.02,15,SaudiAramco,"642,421"
387,2025.06.02,16,tesla,211
388,2025.06.02,16,samsung,"12,768"
389,2025.06.02,16,apple,0
390,2025.06.02,16,Microsoft,"72,208"
391,2025.06.02,16,Amazon,"25,405"
392,2025.06.02,16,TSMC,"11,078"
393,2025.06.02,16,Google,"56,196"
394,2025.06.02,16,Broadcom,"22,202"
395,2025.06.02,16,Meta,"2,037,869"
396,2025.06.02,16,SaudiAramco,"523,206"
397,2025.06.02,17,tesla,224
398,2025.06.02,17,samsung,"13,972"
